"id","business_mission_unit_id","feared_event_id","severity_id"
"1","250","1","1"
"2","250","2","1"
"3","250","3","3"
"4","250","4","1"
"5","250","5","4"
"6","251","1","2"
"7","251","2","2"
"8","251","3","4"
"9","251","4","1"
"10","251","5","4"
"11","252","1","3"
"12","252","2","1"
"13","252","3","2"
"14","252","4","2"
"15","252","5","5"
"16","253","1","1"
"17","253","2","2"
"18","253","3","4"
"19","253","4","1"
"20","253","5","1"
"21","254","1","2"
"22","254","2","2"
"23","254","3","3"
"24","254","4","2"
"25","254","5","4"
"26","255","1","3"
"27","255","2","1"
"28","255","3","4"
"29","255","4","4"
"30","255","5","2"
"31","256","1",
"32","256","2",
"33","256","3",
"34","256","4",
"35","256","5",
"36","257","1","2"
"37","257","2","1"
"38","257","3","1"
"39","257","4","1"
"40","257","5","5"
"41","258","1","3"
"42","258","2","4"
"43","258","3",
"44","258","4","1"
"45","258","5",
"46","259","1",
"47","259","2",
"48","259","3",
"49","259","4",
"50","259","5",
"51","260","1","3"
"52","260","2","3"
"53","260","3","5"
"54","260","4","1"
"55","260","5","2"
"56","261","1",
"57","261","2",
"58","261","3",
"59","261","4",
"60","261","5",
"61","262","1",
"62","262","2",
"63","262","3",
"64","262","4",
"65","262","5",
"66","263","1",
"67","263","2",
"68","263","3",
"69","263","4",
"70","263","5",
