id, cpe, type, vendor, product, version, update, edition, language
"1","cpe:/a:andy_armstrong:cgi.pm:4.38","Application","andy_armstrong","cgi.pm","4.38",,,
"2","cpe:/a:apache:http_server:2.4.29","Application","apache","http_server","2.4.29",,,
"3","cpe:/a:gnu:bash:4.4.20","Application","gnu","bash","4.4.20",,,
"4","cpe:/a:gnu:gzip:1.2.4","Application","gnu","gzip","1.2.4",,,
"5","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"6","cpe:/a:nongnu:dmidecode:3.1","Application","nongnu","dmidecode","3.1",,,
"7","cpe:/a:openbsd:openssh:7.6p1","Application","openbsd","openssh","7.6p1",,,
"8","cpe:/a:openssl:openssl:1.1.1","Application","openssl","openssl","1.1.1",,,
"9","cpe:/a:perl:archive_tar:2.24","Application","perl","archive_tar","2.24",,,
"10","cpe:/a:perl:perl:5.26.1","Application","perl","perl","5.26.1",,,
"11","cpe:/a:php:php:7.2.24","Application","php","php","7.2.24",,,
"12","cpe:/a:python:python:2.7.17","Application","python","python","2.7.17",,,
"13","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"14","cpe:/a:sudo_project:sudo:1.8.21:p2","Application","sudo_project","sudo","1.8.21","p2",,
"15","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"16","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.21:p2","Application","sudo_project","sudoers_i/o_plugin","1.8.21","p2",,
"17","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.21:p2","Application","sudo_project","sudoers_policy_plugin","1.8.21","p2",,
"18","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"19","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"20","cpe:/o:canonical:ubuntu_linux:18.04:-:lts","OS","canonical","ubuntu_linux","18.04","-","lts",
"21","cpe:/a:gnu:bash:5.0.17","Application","gnu","bash","5.0.17",,,
"22","cpe:/a:gnu:gzip:1.10","Application","gnu","gzip","1.10",,,
"23","cpe:/a:io-socket-ssl:io-socket-ssl:2.067","Application","io-socket-ssl","io-socket-ssl","2.067",,,
"24","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"25","cpe:/a:openbsd:openssh:8.2p1","Application","openbsd","openssh","8.2p1",,,
"26","cpe:/a:openssl:openssl:1.1.1f","Application","openssl","openssl","1.1.1f",,,
"27","cpe:/a:perl:archive_tar:2.32","Application","perl","archive_tar","2.32",,,
"28","cpe:/a:perl:perl:5.30.0","Application","perl","perl","5.30.0",,,
"29","cpe:/a:python:python:2.7.18","Application","python","python","2.7.18",,,
"30","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"31","cpe:/a:sudo_project:sudo:1.8.31","Application","sudo_project","sudo","1.8.31",,,
"32","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"33","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.31","Application","sudo_project","sudoers_i/o_plugin","1.8.31",,,
"34","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.31","Application","sudo_project","sudoers_policy_plugin","1.8.31",,,
"35","cpe:/o:canonical:ubuntu_linux:20.04:-:lts","OS","canonical","ubuntu_linux","20.04","-","lts",
"36","cpe:/a:apache:http_server:2.4.25","Application","apache","http_server","2.4.25",,,
"37","cpe:/a:artifex:ghostscript:9.26","Application","artifex","ghostscript","9.26",,,
"38","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"39","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"40","cpe:/a:imagemagick:imagemagick:6.9.7.4","Application","imagemagick","imagemagick","6.9.7.4",,,
"41","cpe:/a:io-socket-ssl:io-socket-ssl:2.044","Application","io-socket-ssl","io-socket-ssl","2.044",,,
"42","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"43","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
