id, request_id, response_id, name, value
"1","1",,"Host","webimg.webzdarma.cz"
"2","1",,"Accept","*/*"
"3","1",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"4","1",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"5","1",,"Connection","close"
"6","1",,"Cache-Control","max-age=0"
"7","1",,"Accept-Encoding","gzip, deflate"
"8",,"1","Server","nginx"
"9",,"1","Date","Sun, 07 Feb 2021 15:39:35 GMT"
"10",,"1","Content-Type","application/javascript"
"11",,"1","Content-Length","10658"
"12",,"1","Last-Modified","Wed, 08 Apr 2015 11:36:29 GMT"
"13",,"1","Connection","close"
"14",,"1","ETag",""552512bd-29a2""
"15",,"1","Expires","Sun, 07 Feb 2021 15:39:35 GMT"
"16",,"1","Cache-Control","max-age=0"
"17",,"1","Cache-Control","private"
"18",,"1","Access-Control-Allow-Origin","*"
"19",,"1","Accept-Ranges","bytes"
"20","2",,"Host","webimg.webzdarma.cz"
"21","2",,"Accept","*/*"
"22","2",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"23","2",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"24","2",,"Connection","close"
"25","2",,"Cache-Control","max-age=0"
"26","2",,"Accept-Encoding","gzip, deflate"
"27",,"2","Server","nginx"
"28",,"2","Date","Sun, 07 Feb 2021 15:39:39 GMT"
"29",,"2","Content-Type","application/javascript"
"30",,"2","Content-Length","187963"
"31",,"2","Last-Modified","Wed, 08 Apr 2015 11:36:29 GMT"
"32",,"2","Connection","close"
"33",,"2","ETag",""552512bd-2de3b""
"34",,"2","Expires","Sun, 07 Feb 2021 15:39:39 GMT"
"35",,"2","Cache-Control","max-age=0"
"36",,"2","Cache-Control","private"
"37",,"2","Access-Control-Allow-Origin","*"
"38",,"2","Accept-Ranges","bytes"
"39","3",,"Host","bratrstvi.company.com"
"40","3",,"Accept-Encoding","gzip, deflate"
"41","3",,"Accept","*/*"
"42","3",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"43","3",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"44","3",,"Connection","close"
"45","3",,"Cache-Control","max-age=0"
"46",,"3","Server","nginx"
"47",,"3","Date","Sun, 07 Feb 2021 08:48:16 GMT"
"48",,"3","Content-Type","text/html"
"49",,"3","Connection","close"
"50",,"3","X-Powered-By","PHP/4.4.8"
"51",,"3","Content-Length","9808"
"52","4",,"Host","bratrstvi.company.com"
"53","4",,"Accept-Encoding","gzip, deflate"
"54","4",,"Accept","*/*"
"55","4",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"56","4",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"57","4",,"Connection","close"
"58","4",,"Cache-Control","max-age=0"
"59",,"4","Server","nginx"
"60",,"4","Date","Sun, 07 Feb 2021 08:48:17 GMT"
"61",,"4","Content-Type","text/html"
"62",,"4","Content-Length","0"
"63",,"4","Connection","close"
"64",,"4","X-Powered-By","PHP/4.4.8"
"65",,"4","Set-Cookie","fusion_visited=yes; expires=Mon, 07 Feb 2022 09:03:06 GMT; path=/"
"66",,"4","Location","news.php"
"67","5",,"Host","bratrstvi.company.com"
"68","5",,"Accept-Encoding","gzip, deflate"
"69","5",,"Accept","*/*"
"70","5",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"71","5",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"72","5",,"Connection","close"
